date,system:index,NDVI,Rural_LST,UHI,Urban_LST,.geo,month,year,day_of_year,week,LST_diff,UHI_lag1,UHI_lag4,UHI_rolling4,month_sin,month_cos,doy_sin,doy_cos,time_idx,UHI_trend,UHI_detrended
2015-02-05,4,0.3126930326266838,31.427465994204084,4.402968862588935,35.83043485679302,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2015,36,6,4.402968862588935,2.260138676960758,2.8829057267058964,2.0701307849753783,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,0.0,3.027708978569278,1.3752598840196568
2015-02-19,5,0.3045965874807056,38.67831315874268,3.70926726682224,35.09309642685842,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2015,50,8,-3.585216731884259,4.402968862588935,1.5001071090192388,2.6224208244261287,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126,1.0,3.0310353069669955,0.6782319598552444
2015-02-26,6,0.3005483649077165,31.362010742952236,3.3624164689388927,34.724427211891125,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2015,57,9,3.362416468938889,3.70926726682224,0.1173084913325812,3.4336978188277065,0.8660254037844386,0.5000000000000001,0.8311706263658079,0.5560174366570446,2.0,3.034361635364713,0.32805483357417975
2015-03-05,7,0.29473020548066936,42.52888530724292,2.7828215344304166,33.015636078596145,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2015,64,10,-9.513249228646778,3.3624164689388927,2.260138676960758,3.5643685331951214,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435,3.0,3.0376879637624303,-0.25486642933201376
2015-03-12,8,0.2889120460536222,29.10361834537922,2.2032265999219405,31.30684494530116,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2015,71,11,2.2032265999219405,2.7828215344304166,4.402968862588935,3.0144329675283723,1.0,6.123233995736766e-17,0.9398560579418954,0.3415707691678556,4.0,3.0410142921601477,-0.8377876922382073
2015-03-19,9,0.26989418171489793,43.77404994285643,-5.709945478395373,23.190756749792808,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2015,78,12,-20.58329319306362,2.2032265999219405,3.70926726682224,0.6596297812239689,1.0,6.123233995736766e-17,0.9741004551724205,0.22611568550828828,5.0,3.044340620557865,-8.754286098953239
2015-03-26,10,0.2508763173761736,28.697786110997143,-13.623117556712687,15.074668554284456,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2015,85,13,-13.623117556712687,-5.709945478395373,3.3624164689388927,-3.586753725188926,1.0,6.123233995736766e-17,0.994217906893952,0.10738134666416309,6.0,3.0476669489555825,-16.67078450566827
2015-04-02,11,0.28692840529173325,43.727743427246985,-4.12250714595111,28.47681621492051,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2015,92,14,-15.250927212326474,-13.623117556712687,2.7828215344304166,-5.313085895284308,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,7.0,3.0509932773533004,-7.17350042330441
2015-04-09,12,0.3229804932072929,36.5008606107461,5.37810326481047,41.87896387555657,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2015,99,15,5.37810326481047,-4.12250714595111,2.2032265999219405,-4.519366729062176,0.8660254037844387,-0.4999999999999998,0.9911140639934547,-0.1330147065341959,8.0,3.054319605751018,2.323783659059452
2015-04-23,13,0.30140870720655916,48.0750342285913,3.625443571103027,40.449092180789904,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2015,113,17,-7.625942047801395,5.37810326481047,-5.709945478395373,-2.1855194666875755,0.8660254037844387,-0.4999999999999998,0.9307239310379795,-0.36572252349726897,9.0,3.057645934148735,0.5677976369542916
